ReportYear,FiceCode,Institution,CohortYear4yr,CohortCount4yr,GradRate4yr,CohortYear5yr,CohortCount5yr,GradRate5yr,CohortYear6yr,CohortCount6yr,GradRate6yr
2022,103599,The University of Texas-Pan American,2018,,,2017,,,2016,,
2022,009930,The University of Texas-Permian Basin,2018,371,27.0,2017,432,44.9,2016,452,46.7
2022,003599,The University of Texas-Rio Grande Valley,2018,4234,32.7,2017,4197,46.4,2016,3616,57.0
2022,003652,University of Houston,2018,4919,44.5,2017,4746,63.3,2016,4263,68.4
2022,011711,University of Houston-Clear Lake,2018,246,35.8,2017,234,51.7,2016,227,65.2
2022,012826,University of Houston-Downtown,2018,973,16.0,2017,856,34.1,2016,829,43.9
2022,013231,University of Houston-Victoria,2018,307,15.3,2017,289,24.6,2016,313,34.2
2022,003594,University of North Texas,2018,4511,45.1,2017,4581,58.6,2016,4454,63.1
2022,042421,University of North Texas at Dallas,2018,353,31.2,2017,290,44.8,2016,257,48.6
2022,003665,West Texas A&M University,2018,1170,34.8,2017,1229,48.5,2016,1304,50.2
